status,service,categorySlug,priority,writingPriorityScore,clusterId,articleSlug,h1,primaryKeyword,primaryVolume,totalVolume,keywordCount,commercialOwner,textLengthRule,flags,approvedKeywords,publishedArticleSlug,publishedSemanticClusterId
backlog,calefaccion,calefaccion,P0-safety,172,suelo-radiante:precio-suelo-radiante,suelo-radiante-precio,Suelo Radiante Precio,suelo radiante precio,1000,1980,25,/calefaccion/suelo-radiante,large-1400-2000-words,price-intent | electrical-safety-review,suelo radiante precio | cuanto cuesta poner suelo radiante | cuanto cuesta suelo radiante | suelo radiante por agua precio m2 | precio de suelo radiante | suelo radiante aerotermia precio | aerotermia y suelo radiante precio | cuanto cuesta poner suelo radiante con aerotermia | cuanto cuesta el metro cuadrado de suelo radiante | precio poner suelo radiante | bomba de calor para suelo radiante precio | coste instalacion suelo radiante | precio calefaccion suelo radiante | bomba de calor aire agua para suelo radiante precio | bomba de calor suelo radiante precio | cuanto cuesta calefaccion suelo radiante | cuanto cuesta el m2 de suelo radiante | cuanto cuesta poner calefaccion suelo radiante | cuanto cuesta poner suelo radiante en una casa | precio bomba de calor para suelo radiante,,
backlog,aire-acondicionado,climatizacion,P0-safety,167,mal-olor:por-que-huele-mal-aire-acondicionado,porque-huele-mal-el-aire-acondicionado,¿Porque Huele Mal el Aire Acondicionado?,porque huele mal el aire acondicionado,720,1290,69,/aire-acondicionado/reparacion-aire-acondicionado,large-1400-2000-words,electrical-safety-review,porque huele mal el aire acondicionado | por que huele mal el aire acondicionado | porque huele mal mi aire acondicionado | porque huele mal el aire acondicionado de casa | porque huele a vinagre el aire acondicionado | porque huele el aire acondicionado a vinagre | porque cuando enciendo el aire acondicionado huele mal | porque el aire acondicionado huele a vinagre | porque huele a humedad el aire acondicionado | porque huele mal aire acondicionado | porque huele mal el aire acondicionado por conductos | porque aire acondicionado huele mal | porque al encender el aire acondicionado huele mal | porque cuando pongo el aire acondicionado huele mal | porque cuando prendo el aire acondicionado huele a humedad | porque cuando prendo el aire acondicionado huele mal | porque da mal olor el aire acondicionado | porque el aire acondicionado de mi casa huele mal | porque el aire acondicionado huele a humedad | porque el aire acondicionado larga olor a humedad,,
backlog,aire-acondicionado,climatizacion,P1-high,166.9,instalacion-potencia-precio:donde-colocar-aire-acondicionado,cuanto-cuesta-poner-aire-acondicionado,¿Cuanto Cuesta Poner Aire Acondicionado?,cuanto cuesta poner aire acondicionado,590,2600,47,/aire-acondicionado/instalacion-aire-acondicionado,large-1400-2000-words,price-intent,cuanto cuesta poner aire acondicionado | cuanto cuesta poner aire acondicionado en casa | cuanto cuesta poner el aire acondicionado en casa | cuanto cuesta poner un aire acondicionado en casa | cuanto vale poner un aire acondicionado | cuanto cuesta poner el aire acondicionado | cuanto cuesta poner aire acondicionado en toda la casa | donde colocar aire acondicionado en dormitorio | donde colocar el aire acondicionado en un dormitorio | donde colocar la unidad exterior del aire acondicionado | precio poner aire acondicionado | cuanto cuesta poner aire acondicionado en un piso | donde colocar aire acondicionado | donde colocar unidad exterior aire acondicionado | donde poner aire acondicionado | cuanto cuesta poner aire acondicionado en una casa | cuanto cuesta poner aire acondicionado en una habitacion | cuanto cuesta poner un aparato de aire acondicionado | donde colocar aire acondicionado salon | donde colocar split aire acondicionado,,
backlog,aire-acondicionado,climatizacion,P1-high,166.1,ahorro-uso:aire-acondicionado-inverter-que-es,que-es-el-aire-acondicionado-inverter,Que Es el Aire Acondicionado Inverter,que es el aire acondicionado inverter,880,2160,24,/aire-acondicionado,large-1400-2000-words,,que es el aire acondicionado inverter | que es un aire acondicionado inverter | aire inverter que es | que es un aire inverter | inverter aire acondicionado como funciona | inverter aire acondicionado que significa | que es dual cool inverter | que es dual inverter aire acondicionado | que es el aire inverter | que es el minisplit inverter | que es inverter en minisplit | que es inverter en un minisplit | que es la tecnologia inverter en minisplit | que es mejor inverter o convencional | que es mejor un aire inverter o convencional | que es mejor un minisplit convencional o inverter | que es minisplit inverter | que es un clima inverter | que es un equipo de aire acondicionado inverter | que es un minisplit inverter,,
backlog,aire-acondicionado,climatizacion,P1-high,165.8,pierde-agua-gotea:por-que-aire-acondicionado-pierde-agua,porque-gotea-el-aire-acondicionado,¿Porque Gotea el Aire Acondicionado?,porque gotea el aire acondicionado,390,1460,206,/aire-acondicionado/reparacion-aire-acondicionado,large-1400-2000-words,,porque gotea el aire acondicionado | porque gotea mi aire acondicionado | por que gotea el aire acondicionado | porque gotea la unidad exterior del aire acondicionado en invierno | por que el aire acondicionado tira agua | porque aire acondicionado tira agua | porque tira agua el aire acondicionado | por que mi aire acondicionado tira agua | porque el aire acondicionado tira agua por el split | porque gotea el aire acondicionado por dentro | porque gotea el split del aire acondicionado | porque mi aire acondicionado no tira agua | porque pierde agua el aire acondicionado | porque tira agua el aire acondicionado por dentro | porque no tira agua el aire acondicionado | porque gotea el aire acondicionado dentro de casa | porque gotea la unidad exterior del aire acondicionado en verano | porque me gotea el aire acondicionado | porque un aire acondicionado tira agua | por que el aire acondicionado no tira agua,,
backlog,calefaccion,calefaccion,P1-high,164.1,aerotermia-calefaccion:bomba-de-calor-para-calefaccion,bomba-de-calor-calefaccion,Bomba de Calor Calefaccion,bomba de calor calefaccion,1000,1690,26,/calefaccion/aerotermia-calefaccion,large-1400-2000-words,price-intent,bomba de calor calefaccion | bomba de calor para calefaccion | bomba de calor para radiadores | bomba de calor calefaccion precio | bomba de calor con radiadores | bomba de calor para acs y calefaccion | bomba de calor acs y calefaccion | bomba de calor aire agua para radiadores | bomba de calor calefaccion radiadores | bomba de calor para radiadores de agua | bomba de calor acs y calefaccion precios | bomba de calor calefaccion casa | bomba de calor calefaccion hogar | bomba de calor con radiadores convencionales | bomba de calor con radiadores de agua | bomba de calor electrica para calefaccion | bomba de calor para calefaccion de alta temperatura | bomba de calor para calefaccion por radiadores precios | bomba de calor para calefaccion y agua sanitaria | bomba de calor para radiadores alta temperatura,,
backlog,aire-acondicionado,climatizacion,P1-high,163.5,bomba-calor:bomba-de-calor-no-calienta,bomba-de-calor-y-frio,Bomba de Calor y Frio,bomba de calor y frio,1300,1480,11,/aire-acondicionado/bomba-calor,large-1400-2000-words,price-intent,bomba de calor y frio | bomba de calor no calienta | bomba de calor y frio portatil | la bomba de calor no calienta | precio bomba de calor y frio | aire acondicionado bomba de calor no calienta | bomba de calor aire acondicionado no calienta | bomba de calor frio calor | bomba de calor frio precios | mi bomba de calor no calienta | porque la bomba de calor no calienta,,
backlog,aire-acondicionado,climatizacion,P1-high,162.6,mantenimiento-limpieza:como-limpiar-aire-acondicionado,como-limpiar-un-aire-acondicionado,¿Como Limpiar un Aire Acondicionado?,como limpiar un aire acondicionado,880,1630,23,/aire-acondicionado/mantenimiento-aire-acondicionado,large-1400-2000-words,hygiene-review | price-intent,como limpiar un aire acondicionado | como limpiar split aire acondicionado | limpieza de conductos de aire acondicionado | limpieza aire acondicionado por conductos | como limpiar aparato de aire acondicionado | como limpiar el aparato de aire acondicionado | precio limpieza conductos aire acondicionado domestico | como limpiar aparato aire acondicionado | como hacer limpieza de aire acondicionado split | como limpiar el polvo del aire acondicionado | como limpiar la unidad interior del aire acondicionado | como limpiar los aparatos de aire acondicionado | como limpiar split de aire acondicionado | como limpiar un aire acondicionado muy sucio | como limpiar una unidad de aire acondicionado | como limpiar unidad interior aire acondicionado | limpieza conductos aire acondicionado precio | limpieza de aire acondicionado por conductos | limpieza de conductos de aire acondicionado precio | limpieza de ductos de aire acondicionado precio,,
backlog,fontaneria,fontaneria,P1-high,160.6,inodoros:instalar-inodoro,como-instalar-un-inodoro-al-suelo,¿Como Instalar un Inodoro al Suelo?,como instalar un inodoro al suelo,210,1290,253,/fontanero/instalacion-cambio-inodoros,large-1400-2000-words,brand-specific,como instalar un inodoro al suelo | como instalar un inodoro | como instalar un vater | como colocar tapa de inodoro universal | como colocar el inodoro | como instalar el wc | como instalar inodoro suspendido roca | como montar un inodoro | como poner la tapa del inodoro | como poner tapa wc roca | como colocar un wc | como instalar inodoro suspendido | como instalar un inodoro roca | como instalar un inodoro roca victoria | como poner inodoro | como colocar la tapa del inodoro | como colocar tapa de inodoro | como instalar un water | como instalar un wc suspendido | como instalar wc suspendido,,
backlog,fontaneria,fontaneria,P0-safety,160.6,termos-calentadores:instalar-termo-electrico,como-instalar-termo-electrico,¿Como Instalar Termo Electrico?,como instalar termo electrico,480,1200,59,/fontanero/calentadores-termos,large-1400-2000-words,gas-safety-review | price-intent | diy-or-commercial-review | brand-specific,como instalar termo electrico | como instalar calentador electrico | como montar un termo electrico | como colocar termo electrico | como conectar termo electrico | como instalar un termo | como poner un termo electrico | precio cambiar caldera gas por termo electrico | como instalar calentador de agua electrico | como instalar calentador electrico de agua | como instalar un calentador de agua electrico | como montar termo electrico | como instalar termo electrico horizontal | como instalar un termo electrico horizontal | como montar un calentador electrico | precio cambiar resistencia termo electrico | cambiar termo electrico precio | como instalar un calentador de agua electrico instantaneo | como instalar un calentador electrico de agua | como instalar un termo de agua electrico,,
